name,largest_city
Alabama,Birmingham
Alaska,Anchorage
Arizona,Phoenix
Arkansas,Little Rock
California,Los Angeles
Colorado,Denver
Connecticut,Bridgeport
Delaware,Wilmington
Florida,Jacksonville
Georgia,Atlanta
Hawaii,Honolulu
Idaho,Boise
Illinois,Chicago
Indiana,Indianapolis
Iowa,Des Moines
Kansas,Wichita
Kentucky,Louisville
Louisiana,New Orleans
Maine,Portland
Maryland,Baltimore
Massachusetts,Boston
Michigan,Detroit
Minnesota,Minneapolis
Mississippi,Jackson
Missouri,Kansas City
Montana,Billings
Nebraska,Omaha
Nevada,Las Vegas
New Hampshire,Manchester
New Jersey,Newark
New Mexico,Albuquerque
New York,New York City
North Carolina,Charlotte
North Dakota,Fargo
Ohio,Columbus
Oklahoma,Oklahoma City
Oregon,Portland
Pennsylvania,Philadelphia
Rhode Island,Providence
South Carolina,Charleston
South Dakota,Sioux Falls
Tennessee,Nashville
Texas,Houston
Utah,Salt Lake City
Vermont,Burlington
Virginia,Virginia Beach
Washington,Seattle
West Virginia,Charleston
Wisconsin,Milwaukee
Wyoming,Cheyenne
