name,gpo_abbrev
Alabama,Ala.
Alaska,Alaska
Arizona,Ariz.
Arkansas,Ark.
California,Calif.
Colorado,Colo.
Connecticut,Conn.
Delaware,Del.
Florida,Fla.
Georgia,Ga.
Hawaii,Hawaii
Idaho,Idaho
Illinois,Ill.
Indiana,Ind.
Iowa,Iowa
Kansas,Kans.
Kentucky,Ky.
Louisiana,La.
Maine,Maine
Maryland,Md.
Massachusetts,Mass.
Michigan,Mich.
Minnesota,Minn.
Mississippi,Miss.
Missouri,Mo.
Montana,Mont.
Nebraska,Nebr.
Nevada,Nev.
New Hampshire,N.H.
New Jersey,N.J.
New Mexico,N. Mex.
New York,N.Y.
North Carolina,N.C.
North Dakota,N. Dak.
Ohio,Ohio
Oklahoma,Okla.
Oregon,Oreg.
Pennsylvania,Pa.
Rhode Island,R.I.
South Carolina,S.C.
South Dakota,S. Dak.
Tennessee,Tenn.
Texas,Tex.
Utah,Utah
Vermont,Vt.
Virginia,Va.
Washington,Wash.
West Virginia,W. Va.
Wisconsin,Wis.
Wyoming,Wyo.
