name,uscg_code
Alabama,AL
Alaska,AK
Arizona,AZ
Arkansas,AR
California,CF
Colorado,CL
Connecticut,CT
Delaware,DL
Florida,FL
Georgia,GA
Hawaii,HA
Idaho,ID
Illinois,IL
Indiana,IN
Iowa,IA
Kansas,KA
Kentucky,KY
Louisiana,LA
Maine,ME
Maryland,MD
Massachusetts,MS
Michigan,MC
Minnesota,MN
Mississippi,MI
Missouri,MO
Montana,MT
Nebraska,NB
Nevada,NV
New Hampshire,NH
New Jersey,NJ
New Mexico,NM
New York,NY
North Carolina,NC
North Dakota,ND
Ohio,OH
Oklahoma,OK
Oregon,OR
Pennsylvania,PA
Rhode Island,RI
South Carolina,SC
South Dakota,SD
Tennessee,TN
Texas,TX
Utah,UT
Vermont,VT
Virginia,VA
Washington,WN
West Virginia,WV
Wisconsin,WS
Wyoming,WY
